全国都道府県市区町村別面積調,,,,,,,,,,,,,,,,,
,【本データに関する説明事項】,,,,,,,,,,,,,,,,
,①公表単位ごとに小数第三位を四捨五入しているため、都道府県の面積が所属する市区町村の面積の合計と一致しない場合がある。,,,,,,,,,,,,,,,,
,②境界未定部を有する市区町村の面積は、備考欄に「（参考値）」と表示し、面積が便宜上の概算数値であることを示す。,,,,,,,,,,,,,,,,
標準地域コード,都道府県,郡･支庁･振興局等,市区町村,令和3年4月1日(k㎡),令和3年4月1日備考,令和3年1月1日(k㎡),令和3年1月1日備考,令和2年10月1日(k㎡),令和2年10月1日備考,令和2年7月1日(k㎡),令和2年7月1日備考,令和2年1月1日(k㎡),令和2年1月1日備考,令和元年10月1日面積(k㎡),令和元年10月1日備考,令和元年7月面積(k㎡),令和元年7月備考
1225,北海道,空知総合振興局,滝川市,115.9,,115.9,,115.9,,115.9,,115.9,,115.9,,115.9,
1226,北海道,空知総合振興局,砂川市,78.68,,78.68,,78.68,,78.68,,78.68,,78.68,,78.68,
1227,北海道,空知総合振興局,歌志内市,55.95,,55.95,,55.95,,55.95,,55.95,,55.95,,55.95,
1228,北海道,空知総合振興局,深川市,529.42,,529.42,,529.42,,529.42,,529.42,,529.42,,529.42,
1229,北海道,上川総合振興局,富良野市,600.71,,600.71,,600.71,,600.71,,600.71,,600.71,,600.71,
1230,北海道,胆振総合振興局,登別市,212.21,,212.21,,212.21,,212.21,,212.21,,212.21,,212.21,
1231,北海道,石狩振興局,恵庭市,294.65,（参考値）,294.65,（参考値）,294.65,（参考値）,294.65,（参考値）,294.65,（参考値）,294.65,（参考値）,294.65,（参考値）
1233,北海道,胆振総合振興局,伊達市,444.21,（参考値）,444.21,（参考値）,444.21,（参考値）,444.21,（参考値）,444.21,（参考値）,444.21,（参考値）,444.21,（参考値）
1234,北海道,石狩振興局,北広島市,119.05,,119.05,,119.05,,119.05,,119.05,,119.05,,119.05,
1235,北海道,石狩振興局,石狩市,722.42,,722.42,,722.42,,722.42,,722.42,,722.42,,722.42,
1236,北海道,渡島総合振興局,北斗市,397.44,,397.44,,397.44,,397.44,,397.44,,397.44,,397.44,
1300,北海道,石狩振興局,,3540.15,,3540.15,,3540.15,,3540.15,,3540.15,,3540.15,,3540.15,
1303,北海道,石狩振興局,当別町,422.86,,422.86,,422.86,,422.86,,422.86,,422.86,,422.86,
1304,北海道,石狩振興局,新篠津村,78.04,,78.04,,78.04,,78.04,,78.04,,78.04,,78.04,
1330,北海道,渡島総合振興局,,3937.46,,3937.45,,3937.45,,3937.45,,3937.48,,3937.48,,3937.48,
1331,北海道,渡島総合振興局,松前町,293.25,,293.25,,293.25,,293.25,,293.25,,293.25,,293.25,
1332,北海道,渡島総合振興局,福島町,187.25,,187.25,,187.25,,187.25,,187.28,,187.28,,187.28,
1333,北海道,渡島総合振興局,知内町,196.76,,196.75,,196.75,,196.75,,196.75,,196.75,,196.75,
1334,北海道,渡島総合振興局,木古内町,221.86,,221.87,,221.87,,221.87,,221.87,,221.87,,221.87,
1337,北海道,渡島総合振興局,七飯町,216.75,,216.75,,216.75,,216.75,,216.75,,216.75,,216.75,
1343,北海道,渡島総合振興局,鹿部町,110.63,,110.63,,110.63,,110.63,,110.63,,110.63,,110.63,
1345,北海道,渡島総合振興局,森町,368.79,,368.79,,368.79,,368.79,,368.79,,368.79,,368.79,
1346,北海道,渡島総合振興局,八雲町,956.08,,956.08,,956.08,,956.08,,956.08,,956.08,,956.08,
1347,北海道,渡島総合振興局,長万部町,310.76,,310.76,,310.76,,310.76,,310.76,,310.76,,310.76,
1360,北海道,檜山振興局,,2630.3,,2630.29,,2630.29,,2630.29,,2630.29,,2630.29,,2630.29,
1361,北海道,檜山振興局,江差町,109.48,,109.48,,109.48,,109.48,,109.48,,109.48,,109.48,
1362,北海道,檜山振興局,上ノ国町,547.72,,547.71,,547.71,,547.71,,547.71,,547.71,,547.71,
1363,北海道,檜山振興局,厚沢部町,460.58,,460.58,,460.58,,460.58,,460.58,,460.58,,460.58,
1364,北海道,檜山振興局,乙部町,162.59,,162.59,,162.59,,162.59,,162.59,,162.59,,162.59,
1367,北海道,檜山振興局,奥尻町,142.99,,142.99,,142.99,,142.99,,142.99,,142.99,,142.99,
1370,北海道,檜山振興局,今金町,568.25,,568.25,,568.25,,568.25,,568.25,,568.25,,568.25,
1371,北海道,檜山振興局,せたな町,638.68,,638.68,,638.68,,638.68,,638.68,,638.68,,638.68,
1390,北海道,後志総合振興局,,4305.87,,4305.87,,4305.87,,4305.87,,4305.87,,4305.87,,4305.87,
